Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,677.00,680.00,674.00,678.60,1276800,678.60
2012-12-28,681.10,683.00,674.15,677.65,1756000,677.65
2012-12-27,684.00,684.00,676.70,680.10,2464500,680.10
2012-12-26,678.10,684.85,673.10,680.30,1430800,680.30
2012-12-25,676.10,676.10,676.10,676.10,000,676.10
2012-12-24,680.00,680.15,671.80,676.10,1370500,676.10
2012-12-21,681.00,682.00,674.05,676.00,2771500,676.00
2012-12-20,686.00,687.00,680.25,683.40,2565100,683.40
2012-12-19,674.55,689.25,674.50,688.00,4122200,688.00
2012-12-18,677.95,682.20,669.75,675.95,3343700,675.95
2012-12-17,687.90,687.90,673.60,676.50,3057500,676.50
2012-12-14,690.05,694.40,685.35,688.75,2093400,688.75
2012-12-13,693.85,696.00,689.00,691.05,1570800,691.05
2012-12-12,691.25,696.00,688.50,693.85,1934100,693.85
2012-12-11,695.25,699.00,686.30,690.85,3375100,690.85
2012-12-10,690.00,696.50,689.65,693.00,2081000,693.00
2012-12-07,695.25,698.00,688.00,693.10,1984100,693.10
2012-12-06,695.80,698.50,680.80,694.75,2726100,694.75
2012-12-05,689.00,695.00,687.00,692.60,2304900,692.60
2012-12-04,684.10,690.00,681.05,685.15,2169800,685.15
2012-12-03,700.00,701.15,684.00,686.95,2909000,686.95
2012-11-30,701.00,705.50,689.60,703.95,3909800,703.95
2012-11-29,677.50,703.75,675.40,699.85,6299800,699.85
2012-11-28,680.50,680.50,680.50,680.50,000,680.50
2012-11-27,664.90,683.80,664.90,680.50,4125600,680.50
2012-11-26,673.00,673.70,660.10,661.90,1370300,661.90
2012-11-23,669.50,672.60,659.05,669.75,1312400,669.75
2012-11-22,666.80,671.15,664.00,669.10,2110200,669.10
2012-11-21,655.15,665.50,649.70,663.70,3232400,663.70
2012-11-20,649.10,655.90,648.25,653.85,2338300,653.85
2012-11-19,639.75,647.90,639.45,646.75,1446900,646.75
2012-11-16,643.00,648.60,640.15,642.25,3025700,642.25
2012-11-15,647.00,647.40,639.00,646.25,2360500,646.25
2012-11-14,651.30,651.30,651.30,651.30,000,651.30
2012-11-13,651.30,651.30,651.30,651.30,000,651.30
2012-11-12,637.25,653.80,637.25,651.30,2414300,651.30
