Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-August-2011,274.40,280.90,272.00,275.75,277.578064233343959196,250960,4445,69660991.00,75256,29.99,8.90,1.35
18-August-2011,278.00,279.75,274.50,275.85,277.601750971618737395,170077,2779,47213673.00,40677,23.92,5.25,-2.15
17-August-2011,276.00,281.90,273.20,277.25,278.223497819821474649,228651,3239,63616081.00,48913,21.39,8.70,1.25
16-August-2011,281.80,284.50,271.50,273.00,277.621249001167865265,162690,2849,45166201.00,41028,25.22,13.00,-8.80
12-August-2011,279.00,284.40,277.05,279.30,280.773728607961437656,251437,3999,70596904.00,87199,34.68,7.35,0.30
11-August-2011,279.00,279.85,275.55,277.20,277.889873861498064636,139767,2772,38839834.00,35474,25.38,4.30,-1.80
10-August-2011,289.25,289.75,278.10,279.85,281.318396686386136315,323031,5621,90874563.00,101967,31.57,11.65,-9.40
9-August-2011,278.90,289.00,278.90,286.20,284.742037397110199187,753962,10407,214684676.00,237021,31.44,10.10,7.30
8-August-2011,271.10,285.65,269.15,282.60,279.170097548200766122,675871,13155,188682973.00,213636,31.61,16.50,11.50
5-August-2011,269.00,278.55,267.55,276.10,275.128210811913142938,676698,9697,186178710.00,208516,30.81,11.00,7.10
4-August-2011,278.00,279.60,272.00,273.15,275.678163029794376835,152512,2667,42044228.00,53452,35.05,7.60,-4.85
3-August-2011,273.00,280.35,272.00,276.95,278.296651044341087112,336911,5669,93761203.00,110326,32.75,8.35,3.95
2-August-2011,274.25,277.40,271.70,275.70,275.103809402991160626,441434,5857,121440175.00,145456,32.95,5.70,1.45
1-August-2011,272.05,274.85,268.70,273.30,272.510280445639646561,260300,4680,70934426.00,43235,16.61,6.15,1.25
29-July-2011,274.75,275.25,268.05,268.65,270.694000919099673426,409096,8139,110739833.00,141006,34.47,7.20,-6.10
28-July-2011,274.00,279.65,274.00,276.65,277.581135272364486580,717678,6358,199213874.00,363782,50.69,5.65,2.65
27-July-2011,280.05,280.50,275.10,276.40,278.016995680655744948,181046,2016,50333865.00,57139,31.56,5.40,-3.65
