Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2011,2505.35,2622.00,2505.35,2607.55,2597.962170582650455814,108487,7225,281845122.00,8212,7.57,116.65,102.20
29-November-2011,2632.00,2633.60,2585.05,2606.10,2602.521633402402757050,186286,10651,484813345.00,62164,33.37,48.55,-25.90
28-November-2011,2620.00,2655.00,2613.00,2643.25,2629.407739920123295162,241372,4671,634665405.00,174885,72.45,42.00,23.25
25-November-2011,2654.00,2654.00,2590.05,2600.60,2612.342755052513089545,193666,7604,505921972.00,82644,42.67,63.95,-53.40
24-November-2011,2648.00,2682.90,2588.05,2666.60,2621.474091508646248048,165274,10446,433261509.00,23253,14.07,94.85,18.60
23-November-2011,2688.00,2688.90,2615.80,2650.55,2656.017479780850508739,111157,8438,295234935.00,14444,12.99,73.10,-37.45
22-November-2011,2629.00,2760.55,2612.00,2723.15,2714.955042546001904586,260424,16267,707039452.00,19030,7.31,148.55,94.15
21-November-2011,2723.00,2733.00,2600.10,2661.20,2691.851412434732343381,105527,5475,284063004.00,32163,30.48,132.90,-61.80
18-November-2011,2735.00,2763.00,2720.50,2739.50,2741.417200054473648372,58744,4260,161041812.00,6865,11.69,42.50,4.50
17-November-2011,2769.00,2787.25,2731.65,2750.80,2757.898086862969806113,85514,6092,235838897.00,10028,11.73,55.60,-18.20
16-November-2011,2796.00,2803.70,2758.45,2776.10,2786.246771804250075379,76281,4691,212537690.00,7099,9.31,45.25,-19.90
15-November-2011,2804.70,2818.90,2780.10,2792.50,2802.542141037332305464,106369,10485,298103605.00,36124,33.96,38.80,-12.20
14-November-2011,2805.00,2830.00,2797.05,2808.45,2812.058160333098756744,68208,3921,191804863.00,15235,22.34,32.95,3.45
11-November-2011,2750.00,2806.45,2720.00,2775.60,2782.430227717543260119,160945,8188,447818233.00,38546,23.95,86.45,25.60
9-November-2011,2841.00,2861.90,2821.50,2832.10,2841.124921880424970488,100807,5787,286405280.00,24195,24.00,40.40,-8.90
8-November-2011,2810.00,2847.00,2791.10,2839.15,2822.306640502682504227,143709,6489,405590865.00,30015,20.89,55.90,29.15
4-November-2011,2846.00,2850.00,2794.00,2829.10,2826.912298752667133327,237146,7092,670390944.00,119574,50.42,56.00,-16.90
3-November-2011,2833.70,2842.00,2767.55,2802.15,2795.239913100492234824,102187,6712,285637181.00,23192,22.70,74.45,-31.55
2-November-2011,2823.00,2853.55,2815.00,2828.65,2836.422603432472581307,126556,5417,358966299.00,36975,29.22,38.55,5.65
1-November-2011,2840.10,2874.75,2817.00,2837.20,2843.395743375052057076,91246,5029,259448488.00,21323,23.37,57.75,-2.90
31-October-2011,2846.00,2897.90,2846.00,2875.20,2883.036070218863991662,122816,5934,354082958.00,34472,28.07,51.90,29.20
28-October-2011,2906.00,2971.30,2845.00,2859.65,2882.600309556890129932,220961,11725,636942247.00,59033,26.72,126.30,-46.35
26-October-2011,2862.00,2874.90,2831.00,2838.75,2842.353581037201966787,43116,2704,122550917.00,11527,26.73,43.90,-23.25
25-October-2011,2800.00,2890.00,2800.00,2853.50,2837.686547265570273555,221271,11335,627897740.00,86738,39.20,90.00,53.50
24-October-2011,2747.00,2773.80,2742.05,2767.70,2765.820796024795828003,81304,4462,224872294.00,25774,31.70,31.75,20.70
21-October-2011,2746.00,2746.00,2707.20,2722.70,2725.079060331019754404,93650,5196,255203654.00,22542,24.07,38.80,-23.30
20-October-2011,2692.00,2758.00,2686.00,2745.95,2716.147723013493253373,85376,5854,231893828.00,11603,13.59,72.00,53.95
19-October-2011,2720.00,2734.00,2701.00,2727.25,2721.893284720606107620,116019,5649,315791337.00,39317,33.89,33.00,7.25
18-October-2011,2699.00,2724.00,2686.70,2703.10,2704.175368157021240765,225651,8079,610199876.00,10830,4.80,37.30,4.10
17-October-2011,2761.00,2763.00,2720.40,2747.25,2742.694726917898837213,257743,6485,706910367.00,176731,68.57,42.60,-13.75
14-October-2011,2707.00,2750.10,2687.00,2744.65,2719.417234304775540024,271006,16194,736978387.00,90211,33.29,63.10,37.65
13-October-2011,2712.00,2728.00,2651.00,2695.35,2703.047919757466296845,310060,17566,838107038.00,80392,25.93,77.00,-16.65
12-October-2011,2601.00,2690.00,2601.00,2680.50,2649.668469804097797806,952414,50858,2523581346.00,219213,23.02,89.00,79.50
11-October-2011,2583.00,2595.30,2493.10,2509.20,2528.518450393830730142,290861,20763,735447405.00,58082,19.97,102.20,-73.80
10-October-2011,2544.00,2599.00,2529.80,2591.30,2565.412540777546586500,152351,10887,390843166.00,23128,15.18,69.20,47.30
7-October-2011,2555.35,2574.80,2488.00,2507.05,2536.651987919045954239,205944,12704,522408257.00,57404,27.87,86.80,-48.30
5-October-2011,2463.05,2499.00,2438.00,2454.30,2462.441654988955656366,126309,7896,311028543.00,23306,18.45,61.00,-8.75
4-October-2011,2447.10,2483.30,2420.00,2440.70,2446.070133391253548237,133517,8086,326591946.00,22634,16.95,63.30,-6.40
3-October-2011,2483.00,2517.00,2468.55,2476.35,2489.652986532496631130,125413,8308,312234850.00,15338,12.23,48.45,-6.65
30-September-2011,2529.00,2564.00,2510.10,2533.80,2538.264597647906533878,155436,9768,394537696.00,12893,8.29,53.90,4.80
29-September-2011,2475.00,2567.90,2472.10,2550.00,2521.218630056732761554,232141,16038,585278214.00,28193,12.14,95.80,75.00
28-September-2011,2480.00,2537.25,2455.20,2474.85,2499.668951291674471403,443107,15448,1107620810.00,240491,54.27,82.05,-5.15
27-September-2011,2376.90,2468.00,2376.90,2446.00,2422.951337255416640513,175247,10781,424614953.00,42952,24.51,91.10,69.10
26-September-2011,2342.55,2366.00,2302.00,2355.15,2331.948226788274157023,144399,7387,336730992.00,45760,31.69,64.00,12.60
23-September-2011,2336.00,2390.50,2321.00,2340.10,2353.889144527774246853,157340,10295,370360918.00,13122,8.34,69.50,4.10
22-September-2011,2384.00,2409.95,2338.00,2353.60,2383.520908868201861832,163280,7734,389181294.00,49993,30.62,71.95,-30.40
21-September-2011,2436.20,2454.00,2418.10,2433.40,2434.988026202290565296,117089,7332,285110313.00,7278,6.22,35.90,-2.80
20-September-2011,2375.00,2450.00,2375.00,2437.70,2421.115831639363864641,167260,9767,404955834.00,47264,28.26,75.00,62.70
19-September-2011,2392.20,2409.55,2356.05,2361.65,2375.873451033496001430,78278,4945,185978622.00,10976,14.02,53.50,-30.55
16-September-2011,2440.00,2449.00,2374.05,2393.40,2399.019900931653106793,194815,11499,467365062.00,28209,14.48,74.95,-46.60
15-September-2011,2377.00,2422.40,2329.15,2405.55,2372.631752021341751651,243279,16299,577211480.00,26260,10.79,93.25,28.55
14-September-2011,2247.10,2363.90,2247.10,2353.05,2312.721704115488859861,296271,19055,685192372.00,61629,20.80,116.80,105.95
13-September-2011,2226.00,2258.50,2199.00,2224.40,2232.389434292379471228,123456,8545,275601870.00,11572,9.37,59.50,-1.60
12-September-2011,2219.00,2219.00,2183.05,2197.75,2196.190031716765987335,182238,8802,400229279.00,64081,35.16,35.95,-21.25
9-September-2011,2331.00,2331.00,2259.00,2271.20,2286.742398886021615268,156556,8546,358003243.00,52725,33.68,72.00,-59.80
8-September-2011,2304.00,2353.00,2300.00,2338.65,2338.313665352222384499,184869,8330,432281709.00,78853,42.65,53.00,34.65
7-September-2011,2301.00,2313.80,2267.90,2291.20,2292.863568066299639624,170378,8190,390653509.00,43434,25.49,45.90,-9.80
6-September-2011,2250.10,2326.00,2223.50,2303.40,2264.783708626712832787,129099,7732,292381312.00,29169,22.59,102.50,53.30
5-September-2011,2287.90,2287.90,2241.00,2263.85,2256.765135306300600790,116846,6451,263693979.00,31835,27.25,46.90,-24.05
2-September-2011,2370.00,2379.00,2277.00,2315.55,2311.880270289934155480,109956,6753,254205107.00,18718,17.02,102.00,-54.45
30-August-2011,2325.70,2360.00,2280.15,2342.80,2328.957896361186783706,168489,9599,392403787.00,34538,20.50,79.85,17.10
29-August-2011,2235.20,2312.20,2235.20,2297.85,2288.397131953278593731,129705,9147,296816550.00,29448,22.70,77.00,62.65
26-August-2011,2189.90,2253.85,2183.05,2204.55,2219.196011414280675879,311890,15320,692145044.00,121898,39.08,70.80,14.65
25-August-2011,2245.00,2264.00,2169.00,2189.65,2210.401686308150336481,217991,11578,481847674.00,73931,33.91,95.00,-55.35
24-August-2011,2280.00,2280.00,2231.00,2249.95,2251.447012446294901891,112885,7130,254154596.00,21113,18.70,49.00,-30.05
23-August-2011,2204.60,2300.00,2195.00,2274.00,2250.387586318053379940,198539,13303,446789701.00,26863,13.53,105.00,69.40
22-August-2011,2217.90,2247.65,2171.85,2194.05,2210.662938406613609137,252933,8852,559149609.00,135889,53.73,75.80,-23.85
19-August-2011,2272.00,2272.00,2172.65,2225.40,2207.731885368540471218,425747,22472,939935227.00,120544,28.31,99.35,-46.60
18-August-2011,2465.00,2467.00,2351.00,2362.05,2375.736846779975003647,157623,9637,374470769.00,55499,35.21,116.00,-102.95
17-August-2011,2400.00,2463.00,2400.00,2449.15,2438.633648717417117439,106114,7434,258773171.00,14777,13.93,63.00,49.15
16-August-2011,2411.25,2438.00,2375.20,2392.65,2400.933415000738481855,115101,5904,276349837.00,16663,14.48,62.80,-18.60
12-August-2011,2482.05,2485.00,2343.70,2374.45,2387.815317023352697011,197793,13171,472293155.00,70806,35.80,141.30,-107.60
11-August-2011,2428.05,2465.00,2414.00,2438.95,2439.862532873712555400,95441,6098,232862920.00,14144,14.82,51.00,10.90
10-August-2011,2454.00,2475.10,2412.45,2445.60,2446.096802446623688026,139294,8866,340726608.00,26245,18.84,62.65,-8.40
9-August-2011,2398.00,2439.00,2350.00,2377.10,2385.407668309146541033,333033,15886,794419472.00,127685,38.34,89.00,-20.90
8-August-2011,2500.00,2500.00,2431.40,2468.00,2463.222697155036604577,258984,13864,637935267.00,95546,36.89,68.60,-32.00
5-August-2011,2660.00,2660.00,2530.00,2590.55,2586.783589127218934911,216320,15506,559573026.00,57640,26.65,130.00,-69.45
